QEI Point ID,Station,Point,Description,Comm,RTU,Page,Point,Analog #,Relay,Relay,Scale Factor,Point Type,HELPER COLUMN,IP,DNP Address,DNP Point #,,
06215,ME,TX1A,ME TX A AMPS C/S TRIP,1,11,3,,3,,,1.2,ANALOG,METX1AANALOG,172.16.3.81,1,27,,
06425,ME,1A,ME BKR 1A AMPS BKR TRIP,1,11,,,16,,,.29311187,ANALOG,ME1AANALOG,172.16.3.81,1,46,,
06426,ME,1C,ME BKR 1C AMPS BKR TRIP,1,11,,,18,,,.29311187,ANALOG,ME1CANALOG,172.16.3.81,1,48,,
06427,ME,3A,ME BKR 3A AMPS BKR TRIP,1,11,,,22,,,.29311187,ANALOG,ME3AANALOG,172.16.3.81,1,58,,
06428,ME,4PF,ME FDR 4 POWER FACTOR,1,11,,,39,,,0.1,ANALOG,ME4PFANALOG,172.16.3.81,1,69,,
06600,ME,TX1FRQ,ME FREQUENCY,1,11,,,8,,,0.1,ANALOG,METX1FRQANALOG,172.16.3.81,1,35,,
06612,ME,PF1M,ME POWER FACTOR METER,1,11,,,7,,,0.1,ANALOG,MEPF1MANALOG,172.16.3.81,1,34,,
06705,ME,1KW,ME FDR 1 WATTS,1,11,,,32,,,10,ANALOG,ME1KWANALOG,172.16.3.81,1,49,,
06709,ME,2KW,ME FDR 2 WATTS,1,11,,,33,,,10,ANALOG,ME2KWANALOG,172.16.3.81,1,55,,
06728,ME,3KW,ME FDR 3 WATTS,1,11,,,34,,,10,ANALOG,ME3KWANALOG,172.16.3.81,1,61,,
06729,ME,4KW,ME FDR 4 WATTS,1,11,,,35,,,10,ANALOG,ME4KWANALOG,172.16.3.81,1,67,,
06943,ME,KVA1M,ME KVA METER,1,11,,,9,,,48,ANALOG,MEKVA1MANALOG,172.16.3.81,1,30,,
07187,ME,TX1B,ME TX B AMPS C/S TRIP,1,11,4,,4,,,1.2,ANALOG,METX1BANALOG,172.16.3.81,1,28,,
07188,ME,TX1C,ME TX C AMPS C/S TRIP,1,11,5,,5,,,1.2,ANALOG,METX1CANALOG,172.16.3.81,1,29,,
07196,ME,3B,ME BKR 3B AMPS BKR TRIP,1,11,,,23,,,.29311187,ANALOG,ME3BANALOG,172.16.3.81,1,59,,
07197,ME,3C,ME BKR 3C AMPS BKR TRIP,1,11,,,24,,,.29311187,ANALOG,ME3CANALOG,172.16.3.81,1,60,,
07198,ME,4A,ME BKR 4A AMPS BKR TRIP,1,11,,,25,,,.29311187,ANALOG,ME4AANALOG,172.16.3.81,1,64,,
07199,ME,4B,ME BKR 4B AMPS BKR TRIP,1,11,,,26,,,.29311187,ANALOG,ME4BANALOG,172.16.3.81,1,65,,
07200,ME,4C,ME BKR 4C AMPS BKR TRIP,1,11,,,27,,,.29311187,ANALOG,ME4CANALOG,172.16.3.81,1,66,,
07201,ME,LTC1,ME LD TAP CHGR POS,1,11,,,28,,,.0078,ANALOG,MELTC1ANALOG,172.16.3.81,1,21,,
07219,ME,KWPHR1,ME PREVIOUS HOUR DEMAND,1,11,,,12,,,144,ANALOG,MEKWPHR1ANALOG,172.16.3.81,1,36,,
07699,ME,P2,MELROSE ACCUMULATOR CEC,1,11,1,,,,,,PULSE,MEP2PULSE,172.16.3.81,1,#N/A,,
07733,ME,MV1-,ME VARS LEAD,1,11,,,11,,,48,ANALOG,MEMV1-ANALOG,172.16.3.81,1,33,,
07757,ME,MV1,ME VARS LAG,1,11,,,10,,,48,ANALOG,MEMV1ANALOG,172.16.3.81,1,32,,
07759,ME,DCV,ME DC VOLTS,1,11,,,29,,,.07327797,ANALOG,MEDCVANALOG,172.16.3.81,1,70,,
07760,ME,1PF,ME FDR 1 POWER FACTOR,1,11,,,36,,,0.1,ANALOG,ME1PFANALOG,172.16.3.81,1,51,,
07773,ME,2PF,ME FDR 2 POWER FACTOR,1,11,,,37,,,0.1,ANALOG,ME2PFANALOG,172.16.3.81,1,57,,
08081,ME,THST1,ME TX WINDING 1 TEMP,1,11,,,40,,,1,ANALOG,METHST1ANALOG,172.16.3.81,1,38,,
08082,ME,THST2,ME TX WINDING 2 TEMP,1,11,,,41,,,1,ANALOG,METHST2ANALOG,172.16.3.81,1,39,,
08083,ME,THST3,ME TX WINDING 3 TEMP,1,11,,,42,,,1,ANALOG,METHST3ANALOG,172.16.3.81,1,40,,
08084,ME,TXTEMP,ME TX TANK OIL TEMP,1,11,,,43,,,1,ANALOG,METXTEMPANALOG,172.16.3.81,1,41,,
08371,ME,TCTEMP,ME LTC TANK OIL TEMP,1,11,,,44,,,1,ANALOG,METCTEMPANALOG,172.16.3.81,1,42,,
08405,ME,TXABT,ME TX AMBIENT TEMP,1,11,,,45,,,1,ANALOG,METXABTANALOG,172.16.3.81,1,43,,
35032,ME,TC,TX LTC RAISE,1,11,,,,23,1,,RELAY,METCRELAY,172.16.3.81,1,11,,
35032,ME,TC,TX LTC LOWER,1,11,,,,23,0,,RELAY,METCRELAY,172.16.3.81,1,11,,
