QEI Point ID,Station,Point,Description,Comm,RTU,Page,Point,Analog #,Relay,Relay,Scale Factor,Point Type,HELPER COLUMN,Full Point Name,OSI SCADA ID,IP,DNP Address,DNP Point #,,
35017,ME,LRS,SUB LOC/REM SW,1,11,3,0,,,,,STATUS,STATUSLRS,MELRS,1041048,172.16.3.81,1,193,193,1
35018,ME,86T1,ME  TX1 86T LCKOUT,1,11,3,1,,,,,STATUS,STATUS86T1,ME86T1,1041049,172.16.3.81,1,195,195,1
35019,ME,387SC1,ME TX1 DIF PROT FAIL,1,11,3,2,,,,,STATUS,STATUS387SC1,ME387SC1,1041050,172.16.3.81,1,171,171,1
35020,ME,501SC1,ME TX1 OVERCURRENT FAIL,1,11,3,3,,,,,STATUS,STATUS501SC1,ME501SC1,1041051,172.16.3.81,1,172,172,1
35021,ME,21T1SC,ME TX1 2100 FAIL,1,11,3,4,,,,,STATUS,STATUS21T1SC,ME21T1SC,1041052,172.16.3.81,1,175,175,1
35022,ME,MET1SC,ME TX1 METER FAIL,1,11,3,5,,,,,STATUS,STATUSMET1SC,MEMET1SC,1041053,172.16.3.81,1,176,176,1
35023,ME,86TCM1,ME TX1 86T LCKOUT TCM,1,11,3,6,,,,,STATUS,STATUS86TCM1,ME86TCM1,1041054,172.16.3.81,1,196,196,1
35024,ME,94TCM1,ME TX1 94T TCM,1,11,3,7,,,,,STATUS,STATUS94TCM1,ME94TCM1,1041055,172.16.3.81,1,201,201,1
35025,ME,K697,ME K697 CIRC SW,1,11,3,8,,,,,STATUS,STATUSK697,MEK697,1041056,172.16.3.81,1,0,0,1
35025,ME,K697,CIRCUIT SWITCHER TRIP,1,11,,,,16,1,,RELAY,RELAYK697,MEK697,1041056,172.16.3.81,1,0,0,1
35025,ME,K697,CIRCUIT SWITCHER CLOSE,1,11,,,,16,0,,RELAY,RELAYK697,MEK697,1041056,172.16.3.81,1,0,0,1
35026,ME,25SC10,ME CH STA/CTRL FAIL,1,11,3,10,,,,,STATUS,STATUS25SC10,ME25SC10,1041057,172.16.3.81,1,181,181,1
35027,ME,35C109,TX1 3530 TO 2100 COMM,1,11,7,3,,,,,STATUS,STATUS35C109,ME35C109,1041058,172.16.3.81,1,122,122,1
35028,ME,35C101,ME BKR 1 CONTROL COMM,1,11,3,12,,,,,STATUS,STATUS35C101,ME35C101,1041059,172.16.3.81,1,114,114,1
35029,ME,35C102,ME BKR 2 CONTROL COMM,1,11,3,13,,,,,STATUS,STATUS35C102,ME35C102,1041060,172.16.3.81,1,115,115,1
35030,ME,35C103,ME BKR 3 CONTROL COMM,1,11,3,14,,,,,STATUS,STATUS35C103,ME35C103,1041061,172.16.3.81,1,116,116,1
35031,ME,35C104,ME BKR 4 CONTROL COMM,1,11,3,15,,,,,STATUS,STATUS35C104,ME35C104,1041062,172.16.3.81,1,117,117,1
35032,ME,TC,TX LTC RAISE,1,11,,,,23,1,,RELAY,RELAYTC,METC,5041007,172.16.3.81,1,11,11,1
35032,ME,TC,TX LTC LOWER,1,11,,,,23,0,,RELAY,RELAYTC,METC,5041007,172.16.3.81,1,11,11,1
35033,ME,T1F1AC,ME TX STG1 FANS LOSS AC,1,11,4,0,,,,,STATUS,STATUST1F1AC,MET1F1AC,1041063,172.16.3.81,1,31,31,1
35034,ME,T1F2AC,ME TX STG2 FANS LOSS AC,1,11,4,1,,,,,STATUS,STATUST1F2AC,MET1F2AC,1041064,172.16.3.81,1,32,32,1
35035,ME,TX1NHI,ME TX1 NITRO HIGH PR,1,11,4,2,,,,,STATUS,STATUSTX1NHI,METX1NHI,1041065,172.16.3.81,1,33,33,1
35036,ME,TX1NLO,ME TX NITRO LOW PR,1,11,4,3,,,,,STATUS,STATUSTX1NLO,METX1NLO,1041066,172.16.3.81,1,34,34,1
35037,ME,T1NCLO,ME TX1 NITRO CYL LOW PR,1,11,4,4,,,,,STATUS,STATUST1NCLO,MET1NCLO,1041067,172.16.3.81,1,35,35,1
35038,ME,T1PR,ME TX1 TANK PRS RELIEF,1,11,4,5,,,,,STATUS,STATUST1PR,MET1PR,1041068,172.16.3.81,1,36,36,1
35099,ME,1UF,ME BKR 1 UNDER FREQ TRIP,1,11,1,13,,,,,STATUS,STATUS1UF,ME1UF,1041069,172.16.3.81,1,70,70,1
35100,ME,3UF,ME BKR 3 UNDER FREQ TRIP,1,11,1,14,,,,,STATUS,STATUS3UF,ME3UF,1041070,172.16.3.81,1,94,94,1
35101,ME,1POT,ME BKR 1 LOSS POT FOR UF,1,11,1,15,,,,,STATUS,STATUS1POT,ME1POT,1041071,172.16.3.81,1,73,73,1
35102,ME,2POT,ME BKR 2 LOSS POT FOR UF,1,11,2,13,,,,,STATUS,STATUS2POT,ME2POT,1041072,172.16.3.81,1,85,85,1
35103,ME,3POT,ME BKR 3 LOSS POT FOR UF,1,11,2,14,,,,,STATUS,STATUS3POT,ME3POT,1041073,172.16.3.81,1,97,97,1
35104,ME,4POT,ME BKR 4 LOSS POT FOR UF,1,11,2,15,,,,,STATUS,STATUS4POT,ME4POT,1041074,172.16.3.81,1,109,109,1
35220,ME,S3L12,ME LBI S3L12,1,11,3,9,,,,,STATUS,STATUSS3L12,MES3L12,1041075,172.16.3.81,1,64,64,1
35220,ME,S3L12,S3L12 LBI OPEN,1,11,,,,17,1,,RELAY,RELAYS3L12,MES3L12,1041075,172.16.3.81,1,17,64,0
35220,ME,S3L12,S3L12 LBI CLOSE,1,11,,,,17,0,,RELAY,RELAYS3L12,MES3L12,1041075,172.16.3.81,1,17,64,0
35235,ME,T1SP,ME TX1 TANK SUDDEN PRS,1,11,4,6,,,,,STATUS,STATUST1SP,MET1SP,1041076,172.16.3.81,1,37,37,1
35236,ME,TX1LO,ME TX1 TANK LO OIL,1,11,4,7,,,,,STATUS,STATUSTX1LO,METX1LO,1041077,172.16.3.81,1,38,38,1
35237,ME,TX1HI,ME TX1 TANK HI OIL,1,11,4,8,,,,,STATUS,STATUSTX1HI,METX1HI,1041078,172.16.3.81,1,39,39,1
35238,ME,LTC1LO,ME TX1 LTC TANK LO OIL,1,11,4,9,,,,,STATUS,STATUSLTC1LO,MELTC1LO,1041079,172.16.3.81,1,41,41,1
35239,ME,TC1PWR,ME TX1 LTC LOSS OF POWER,1,11,4,10,,,,,STATUS,STATUSTC1PWR,METC1PWR,1041080,172.16.3.81,1,42,42,1
35240,ME,TCP1,ME TX1 LTC OFF TAP,1,11,4,11,,,,,STATUS,STATUSTCP1,METCP1,1041081,172.16.3.81,1,43,43,1
35241,ME,LTCMT1,ME TX1 LTC MOTOR HI TEMP,1,11,4,12,,,,,STATUS,STATUSLTCMT1,MELTCMT1,1041082,172.16.3.81,1,44,44,1
