32 FEP.DB
* 
	10	SCAN_DATA	0	14	35
*	Record	1s	RTAC_point_type	RTAC_address	RTAC_Number	RTAC IP	RTAC NAME	RTAC Abr	DNP Point Address	Name	DestinationKey
	281	1	1	70	36	172.17.4.81	Double Branch	DB	69	"DB,1LR"	"01014008"
	282	1	1	71	36	172.17.4.81	Double Branch	DB	70	"DB,1UF"	"01014008"
	283	1	1	72	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	284	1	1	73	36	172.17.4.81	Double Branch	DB	72	"DB,1HL"	"01014008"
	285	1	1	74	36	172.17.4.81	Double Branch	DB	73	"DB,1POT"	"01014008"
	286	1	1	75	36	172.17.4.81	Double Branch	DB	74	"DB,79LO1"	"01014008"
	287	1	1	76	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	288	1	1	77	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	289	1	1	78	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	290	1	1	79	36	172.17.4.81	Double Branch	DB	78	"DB,2"	"01014008"
	291	1	1	80	36	172.17.4.81	Double Branch	DB	79	"DB,2R"	"01014008"
	292	1	1	81	36	172.17.4.81	Double Branch	DB	80	"DB,2GT"	"01014008"
	293	1	1	82	36	172.17.4.81	Double Branch	DB	81	"DB,2LR"	"01014008"
	294	1	1	83	36	172.17.4.81	Double Branch	DB	82	"DB,2POT"	"01014008"
	295	1	1	84	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	296	1	1	85	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	297	1	1	86	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	298	1	1	87	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	299	1	1	88	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	300	1	1	89	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	301	1	1	90	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	302	1	1	91	36	172.17.4.81	Double Branch	DB	90	"DB,3"	"01014008"
	303	1	1	92	36	172.17.4.81	Double Branch	DB	91	"DB,3R"	"01014008"
	304	1	1	93	36	172.17.4.81	Double Branch	DB	92	"DB,3GT"	"01014008"
	305	1	1	94	36	172.17.4.81	Double Branch	DB	93	"DB,3LR"	"01014008"
	306	1	1	95	36	172.17.4.81	Double Branch	DB	94	"DB,3UF"	"01014008"
	307	1	1	96	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	308	1	1	97	36	172.17.4.81	Double Branch	DB	96	"DB,3HL"	"01014008"
	309	1	1	98	36	172.17.4.81	Double Branch	DB	97	"DB,3POT"	"01014008"
	310	1	1	99	36	172.17.4.81	Double Branch	DB	98	"DB,79LO3"	"01014008"
	311	1	1	100	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	312	1	1	101	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
	313	1	1	102	36	172.17.4.81	Double Branch	DB	none	"none"	"01014008"
