Point ID,Station,Pnuemonic,Description,COM,RTU,Pg,Status P,Analog P,Relay P,Value,Scale,Type,Helper Column,IP Address,DNPAddress,DNP Point,,
32779,DB,4R,DB BKR 4 RECLOSER,3,7,6,2,,,,,STATUS,DB4RSTATUS,172.17.4.82,1,67,,
32779,DB,4R,BKR 4 RECLOSE OFF,3,7,,,,29,1,,RELAY,DB4RRELAY,172.17.4.82,1,19,,
32779,DB,4R,BKR 4 RECLOSE ON,3,7,,,,29,0,,RELAY,DB4RRELAY,172.17.4.82,1,19,,
32782,DB,4GT,DB BKR 4 GRND TRIP BLK,3,7,6,3,,,,,STATUS,DB4GTSTATUS,172.17.4.82,1,68,,
32782,DB,4GT,BKR 4 GRND TRIP BLK,3,7,,,,30,1,,RELAY,DB4GTRELAY,172.17.4.82,1,20,,
32782,DB,4GT,BKR 4 GRND TRIP ENABLE,3,7,,,,30,0,,RELAY,DB4GTRELAY,172.17.4.82,1,20,,
32784,DB,4LR,DB BKR 4 LOC/REM SW,3,7,6,4,,,,,STATUS,DB4LRSTATUS,172.17.4.82,1,69,,
32786,DB,5R,DB BKR 5 RECLOSER,3,7,6,5,,,,,STATUS,DB5RSTATUS,172.17.4.82,1,79,,
32786,DB,5R,BKR 5 RECLOSE OFF,3,7,,,,31,1,,RELAY,DB5RRELAY,172.17.4.82,1,24,,
32786,DB,5R,BKR 5 RECLOSE ON,3,7,,,,31,0,,RELAY,DB5RRELAY,172.17.4.82,1,24,,
32787,DB,5GT,DB BKR 5 GRND TRIP BLK,3,7,6,6,,,,,STATUS,DB5GTSTATUS,172.17.4.82,1,80,,
32787,DB,5GT,BKR 5 GRND TRIP BLK,3,7,,,,32,1,,RELAY,DB5GTRELAY,172.17.4.82,1,25,,
32787,DB,5GT,BKR 5 GRND TRIP ENABLE,3,7,,,,32,0,,RELAY,DB5GTRELAY,172.17.4.82,1,25,,
32788,DB,5LR,DB BKR 5 LOC/REM SW,3,7,6,7,,,,,STATUS,DB5LRSTATUS,172.17.4.82,1,81,,
